"","Gene","Cytoband","CNA","Freq"
"478","TNFRSF14","1p36.32","AMP","0.82%"
"951","TNFRSF14","1p36.32","DEL","0.21%"
"608","CAMTA1","1p36.31-p36.23","AMP","0.62%"
"720","CAMTA1","1p36.31-p36.23","DEL","0.41%"
"609","RPL22","1p36.31","AMP","0.62%"
"949","RPL22","1p36.31","DEL","0.21%"
"758","PRDM16","1p36.23-p33","AMP","0.41%"
"950","PRDM16","1p36.23-p33","DEL","0.21%"
"803","PRDM2","1p36.21","AMP","0.41%"
"1222","PRDM2","1p36.21","DEL","0.21%"
"500","PIK3CD","1p36.2","AMP","0.82%"
"756","MTOR","1p36.2","AMP","0.41%"
"26","APH1A","1p36.13-q31.3","AMP","8.25%"
"946","ID3","1p36.13-p36.12","AMP","0.21%"
"1045","EPHA8","1p36.12","AMP","0.21%"
"983","MAP3K6","1p36.11","AMP","0.21%"
"944","RPL11","1p36.1-p35","AMP","0.21%"
"1175","SDHB","1p36.1-p35","AMP","0.21%"
"797","CDC42","1p36.1","AMP","0.41%"
"757","ERRFI1","1p36","AMP","0.41%"
"945","MDS2","1p36","AMP","0.21%"
"948","ERRFI1","1p36","DEL","0.21%"
"984","ARID1A","1p35.3","AMP","0.21%"
"1147","ARID1A","1p35.3","DEL","0.21%"
"476","CSF3R","1p35-p34.3","AMP","0.82%"
"412","THRAP3","1p34.3","AMP","1.03%"
"440","EPHA10","1p34.3","AMP","0.82%"
"477","STK40","1p34.3","AMP","0.82%"
"755","SFPQ","1p34.3","AMP","0.41%"
"622","MYCL","1p34.2","AMP","0.62%"
"763","PIK3R3","1p34.1","AMP","0.41%"
"764","MUTYH","1p34.1","AMP","0.41%"
"481","MPL","1p34","AMP","0.82%"
"585","RRAGC","1p34","AMP","0.62%"
"762","FAF1","1p33","AMP","0.41%"
"1204","FAF1","1p33","DEL","0.21%"
"567","JAK1","1p32.3-p31.3","AMP","0.62%"
"586","JAK1","1p32.3-p31.3","DEL","0.62%"
"504","JUN","1p32-p31","AMP","0.82%"
"804","JUN","1p32-p31","DEL","0.41%"
"607","RAD54L","1p32","AMP","0.62%"
"761","EPS15","1p32","AMP","0.41%"
"994","CDKN2C","1p32","AMP","0.21%"
"995","TAL1","1p32","AMP","0.21%"
"1202","EPS15","1p32","DEL","0.21%"
"1203","CDKN2C","1p32","DEL","0.21%"
"1205","TAL1","1p32","DEL","0.21%"
"566","FUBP1","1p31.1","AMP","0.62%"
"993","NEGR1","1p31.1","AMP","0.21%"
"615","PRKAA2","1p31","AMP","0.62%"
"1201","PRKAA2","1p31","DEL","0.21%"
"606","RPL5","1p22.1","AMP","0.62%"
"614","BCL10","1p22","AMP","0.62%"
"839","BCL10","1p22","DEL","0.41%"
"862","CSDE1","1p22","AMP","0.41%"
"1132","CSDE1","1p22","DEL","0.21%"
"861","NRAS","1p13.2","AMP","0.41%"
"863","PTPN22","1p13.2","AMP","0.41%"
"1131","NRAS","1p13.2","DEL","0.21%"
"1133","PTPN22","1p13.2","DEL","0.21%"
"349","VTCN1","1p13.1","AMP","1.24%"
"860","TRIM33","1p13.1","AMP","0.41%"
"1128","VTCN1","1p13.1","DEL","0.21%"
"1130","TRIM33","1p13.1","DEL","0.21%"
"175","NOTCH2","1p13-p11","AMP","2.47%"
"399","CD58","1p13","AMP","1.03%"
"930","RBM15","1p13","AMP","0.21%"
"1129","CD58","1p13","DEL","0.21%"
"1134","RBM15","1p13","DEL","0.21%"
"348","FAM46C","1p12","AMP","1.24%"
"1127","FAM46C","1p12","DEL","0.21%"
